时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,13.82,6.6336,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,4.18,2.0064,0
1765382418,2025-12-11 00:00:18,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382424,2025-12-11 00:00:24,BUY,Down,btc-updown-15m-1765382400,0.5500000450000045,11.11111,6.111111,1
1765382426,2025-12-11 00:00:26,BUY,Up,btc-updown-15m-1765382400,0.44,5.0,2.2,0
1765382426,2025-12-11 00:00:26,BUY,Down,btc-updown-15m-1765382400,0.55,7.0,3.85,1
1765382428,2025-12-11 00:00:28,BUY,Up,btc-updown-15m-1765382400,0.44,2.0,0.88,0
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.5444444444444444,18.0,9.8,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.54,15.0,8.1,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,18.0,9.9,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,18.0,9.9,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.5500000161483286,9.288887,5.108888,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,13.86,7.623,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,18.0,9.9,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,8.14,4.477,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.55,4.14,2.277,1
1765382430,2025-12-11 00:00:30,BUY,Down,btc-updown-15m-1765382400,0.550000620080327,0.564443,0.310444,1
1765382434,2025-12-11 00:00:34,BUY,Down,btc-updown-15m-1765382400,0.53,2.86,1.5158,1
1765382434,2025-12-11 00:00:34,BUY,Up,btc-updown-15m-1765382400,0.46000020250010487,2.074073,0.954074,0
1765382434,2025-12-11 00:00:34,BUY,Down,btc-updown-15m-1765382400,0.5300001222000904,2.127658,1.127659,1
1765382434,2025-12-11 00:00:34,BUY,Down,btc-updown-15m-1765382400,0.53,18.0,9.54,1
1765382434,2025-12-11 00:00:34,BUY,Down,btc-updown-15m-1765382400,0.53,18.0,9.54,1
1765382436,2025-12-11 00:00:36,BUY,Up,btc-updown-15m-1765382400,0.4800000756364214,2.115383,1.015384,0
1765382436,2025-12-11 00:00:36,BUY,Up,btc-updown-15m-1765382400,0.4800000756364214,2.115383,1.015384,0
1765382438,2025-12-11 00:00:38,BUY,Down,btc-updown-15m-1765382400,0.5100001477206523,2.775509,1.41551,1
1765382440,2025-12-11 00:00:40,BUY,Down,btc-updown-15m-1765382400,0.51,5.1,2.601,1
1765382442,2025-12-11 00:00:42,BUY,Up,btc-updown-15m-1765382400,0.48,2.18,1.0464,0
1765382442,2025-12-11 00:00:42,BUY,Up,btc-updown-15m-1765382400,0.48,9.96,4.7808,0
1765382442,2025-12-11 00:00:42,BUY,Up,btc-updown-15m-1765382400,0.48,18.0,8.64,0
1765382442,2025-12-11 00:00:42,BUY,Up,btc-updown-15m-1765382400,0.48,8.0,3.84,0
1765382442,2025-12-11 00:00:42,BUY,Up,btc-updown-15m-1765382400,0.48,0.04,0.0192,0
1765382444,2025-12-11 00:00:44,BUY,Up,btc-updown-15m-1765382400,0.48,2.18,1.0464,0
1765382444,2025-12-11 00:00:44,BUY,Up,btc-updown-15m-1765382400,0.48,15.82,7.5936,0
1765382444,2025-12-11 00:00:44,BUY,Up,btc-updown-15m-1765382400,0.49,18.0,8.82,0
1765382446,2025-12-11 00:00:46,BUY,Up,btc-updown-15m-1765382400,0.48,5.09,2.4432,0
1765382448,2025-12-11 00:00:48,BUY,Up,btc-updown-15m-1765382400,0.49,3.0,1.47,0
1765382448,2025-12-11 00:00:48,BUY,Up,btc-updown-15m-1765382400,0.49,15.75,7.7175,0
1765382450,2025-12-11 00:00:50,BUY,Up,btc-updown-15m-1765382400,0.49,15.0,7.35,0
1765382460,2025-12-11 00:01:00,BUY,Down,btc-updown-15m-1765382400,0.5,5.0,2.5,1
1765382460,2025-12-11 00:01:00,BUY,Up,btc-updown-15m-1765382400,0.4900000604308942,5.460783,2.675784,0
1765382460,2025-12-11 00:01:00,BUY,Down,btc-updown-15m-1765382400,0.48,3.0,1.44,1
1765382460,2025-12-11 00:01:00,BUY,Down,btc-updown-15m-1765382400,0.48,12.0,5.76,1
1765382462,2025-12-11 00:01:02,BUY,Down,btc-updown-15m-1765382400,0.48,6.0,2.88,1
1765382462,2025-12-11 00:01:02,BUY,Down,btc-updown-15m-1765382400,0.48,15.0,7.2,1
1765382464,2025-12-11 00:01:04,BUY,Down,btc-updown-15m-1765382400,0.45,8.57,3.8565,1
1765382464,2025-12-11 00:01:04,BUY,Down,btc-updown-15m-1765382400,0.45,9.43,4.2435,1
1765382464,2025-12-11 00:01:04,BUY,Down,btc-updown-15m-1765382400,0.4400000180645301,2.214284,0.974285,1
1765382464,2025-12-11 00:01:04,BUY,Down,btc-updown-15m-1765382400,0.44,15.78,6.9432,1
1765382464,2025-12-11 00:01:04,BUY,Down,btc-updown-15m-1765382400,0.44,18.0,7.92,1
1765382464,2025-12-11 00:01:04,BUY,Up,btc-updown-15m-1765382400,0.49,18.0,8.82,0
