时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1767043806,25-12-30 05:30:06,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043806,25-12-30 05:30:06,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043807,25-12-30 05:30:07,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043807,25-12-30 05:30:07,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043808,25-12-30 05:30:08,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043808,25-12-30 05:30:08,BUY,Up,btc-updown-15m-1767043800,0.520000,10.0,5.200000,0
1767043808,25-12-30 05:30:08,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043808,25-12-30 05:30:08,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043809,25-12-30 05:30:09,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043809,25-12-30 05:30:09,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043810,25-12-30 05:30:10,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043810,25-12-30 05:30:10,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043811,25-12-30 05:30:11,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043811,25-12-30 05:30:11,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043812,25-12-30 05:30:12,BUY,Up,btc-updown-15m-1767043800,0.520000,10.0,5.200000,0
1767043812,25-12-30 05:30:12,BUY,Down,btc-updown-15m-1767043800,0.440000,10.0,4.400000,1
1767043812,25-12-30 05:30:12,BUY,Down,btc-updown-15m-1767043800,0.470000,10.0,4.700000,1
1767043812,25-12-30 05:30:12,BUY,Up,btc-updown-15m-1767043800,0.490000,10.0,4.900000,0
1767043812,25-12-30 05:30:12,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043812,25-12-30 05:30:12,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043814,25-12-30 05:30:14,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043814,25-12-30 05:30:14,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043815,25-12-30 05:30:15,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043815,25-12-30 05:30:15,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043816,25-12-30 05:30:16,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043816,25-12-30 05:30:16,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043818,25-12-30 05:30:18,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043818,25-12-30 05:30:18,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043819,25-12-30 05:30:19,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043819,25-12-30 05:30:19,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043820,25-12-30 05:30:20,BUY,Down,btc-updown-15m-1767043800,0.460000,10.0,4.600000,1
1767043820,25-12-30 05:30:20,BUY,Up,btc-updown-15m-1767043800,0.500000,10.0,5.000000,0
1767043820,25-12-30 05:30:20,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043820,25-12-30 05:30:20,BUY,Up,btc-updown-15m-1767043800,0.470000,10.0,4.700000,0
1767043820,25-12-30 05:30:20,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043820,25-12-30 05:30:20,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043822,25-12-30 05:30:22,BUY,Down,btc-updown-15m-1767043800,0.460000,10.0,4.600000,1
1767043822,25-12-30 05:30:22,BUY,Up,btc-updown-15m-1767043800,0.500000,10.0,5.000000,0
1767043822,25-12-30 05:30:22,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043822,25-12-30 05:30:22,BUY,Up,btc-updown-15m-1767043800,0.470000,10.0,4.700000,0
1767043822,25-12-30 05:30:22,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
