时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765389654,2025-12-11 02:00:54,BUY,Down,btc-updown-15m-1765389600,0.61,18.0,10.98,1
1765389654,2025-12-11 02:00:54,BUY,Down,btc-updown-15m-1765389600,0.62,18.0,11.16,1
1765389654,2025-12-11 02:00:54,BUY,Down,btc-updown-15m-1765389600,0.61,18.0,10.98,1
1765389654,2025-12-11 02:00:54,BUY,Down,btc-updown-15m-1765389600,0.61,18.0,10.98,1
1765389654,2025-12-11 02:00:54,BUY,Down,btc-updown-15m-1765389600,0.61,18.0,10.98,1
1765389654,2025-12-11 02:00:54,BUY,Up,btc-updown-15m-1765389600,0.37,13.05,4.8285,0
1765389656,2025-12-11 02:00:56,BUY,Down,btc-updown-15m-1765389600,0.61,9.84,6.0024,1
1765389656,2025-12-11 02:00:56,BUY,Up,btc-updown-15m-1765389600,0.3700000306250038,9.142856,3.382857,0
1765389656,2025-12-11 02:00:56,BUY,Up,btc-updown-15m-1765389600,0.37,8.85,3.2745,0
1765389656,2025-12-11 02:00:56,BUY,Down,btc-updown-15m-1765389600,0.6100000674528397,8.153845,4.973846,1
1765389658,2025-12-11 02:00:58,BUY,Up,btc-updown-15m-1765389600,0.37,18.0,6.66,0
1765389658,2025-12-11 02:00:58,BUY,Down,btc-updown-15m-1765389600,0.61,18.0,10.98,1
1765389658,2025-12-11 02:00:58,BUY,Up,btc-updown-15m-1765389600,0.37,18.0,6.66,0
1765389658,2025-12-11 02:00:58,BUY,Up,btc-updown-15m-1765389600,0.37,18.0,6.66,0
1765389660,2025-12-11 02:01:00,BUY,Up,btc-updown-15m-1765389600,0.33,4.91,1.6203,0
1765389660,2025-12-11 02:01:00,BUY,Down,btc-updown-15m-1765389600,0.64,0.74,0.4736,1
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.3416666666666667,18.0,6.15,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.34,18.0,6.12,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.34,18.0,6.12,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.34,18.0,6.12,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.35,18.0,6.3,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.34444444444444444,18.0,6.2,0
1765389662,2025-12-11 02:01:02,BUY,Up,btc-updown-15m-1765389600,0.34,18.0,6.12,0
1765389664,2025-12-11 02:01:04,BUY,Down,btc-updown-15m-1765389600,0.65,4.0,2.6,1
1765389668,2025-12-11 02:01:08,BUY,Up,btc-updown-15m-1765389600,0.3,18.0,5.4,0
1765389668,2025-12-11 02:01:08,BUY,Down,btc-updown-15m-1765389600,0.68,18.0,12.24,1
1765389668,2025-12-11 02:01:08,BUY,Down,btc-updown-15m-1765389600,0.68,18.0,12.24,1
1765389668,2025-12-11 02:01:08,BUY,Up,btc-updown-15m-1765389600,0.3,18.0,5.4,0
1765389668,2025-12-11 02:01:08,BUY,Down,btc-updown-15m-1765389600,0.68,18.0,12.24,1
1765389668,2025-12-11 02:01:08,BUY,Down,btc-updown-15m-1765389600,0.68,18.0,12.24,1
1765389668,2025-12-11 02:01:08,BUY,Up,btc-updown-15m-1765389600,0.3,18.0,5.4,0
1765389670,2025-12-11 02:01:10,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389670,2025-12-11 02:01:10,BUY,Down,btc-updown-15m-1765389600,0.68,10.0,6.8,1
1765389670,2025-12-11 02:01:10,BUY,Down,btc-updown-15m-1765389600,0.68,3.0,2.04,1
1765389670,2025-12-11 02:01:10,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389672,2025-12-11 02:01:12,BUY,Down,btc-updown-15m-1765389600,0.68,3.34375,2.27375,1
1765389672,2025-12-11 02:01:12,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389672,2025-12-11 02:01:12,BUY,Down,btc-updown-15m-1765389600,0.68,18.0,12.24,1
1765389672,2025-12-11 02:01:12,BUY,Down,btc-updown-15m-1765389600,0.68,7.0,4.76,1
1765389672,2025-12-11 02:01:12,BUY,Down,btc-updown-15m-1765389600,0.68,6.0,4.08,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,3.125,2.125,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,6.0,4.08,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,3.25,2.21,1
1765389674,2025-12-11 02:01:14,BUY,Down,btc-updown-15m-1765389600,0.68,5.0,3.4,1
1765389676,2025-12-11 02:01:16,BUY,Down,btc-updown-15m-1765389600,0.68,3.4375,2.3375,1
1765389676,2025-12-11 02:01:16,BUY,Down,btc-updown-15m-1765389600,0.68,3.4375,2.3375,1
1765389676,2025-12-11 02:01:16,BUY,Down,btc-updown-15m-1765389600,0.68,1.12,0.7616,1
1765389676,2025-12-11 02:01:16,BUY,Down,btc-updown-15m-1765389600,0.68,9.375,6.375,1
1765389680,2025-12-11 02:01:20,BUY,Up,btc-updown-15m-1765389600,0.36,18.0,6.48,0
1765389680,2025-12-11 02:01:20,BUY,Up,btc-updown-15m-1765389600,0.35,3.0,1.05,0
1765389680,2025-12-11 02:01:20,BUY,Up,btc-updown-15m-1765389600,0.35,18.0,6.3,0
1765389680,2025-12-11 02:01:20,BUY,Up,btc-updown-15m-1765389600,0.33,16.2,5.346,0
1765389680,2025-12-11 02:01:20,BUY,Up,btc-updown-15m-1765389600,0.33000007816678784,1.791042,0.591044,0
1765389682,2025-12-11 02:01:22,BUY,Up,btc-updown-15m-1765389600,0.35,5.0,1.75,0
1765389684,2025-12-11 02:01:24,BUY,Up,btc-updown-15m-1765389600,0.35,13.0,4.55,0
1765389684,2025-12-11 02:01:24,BUY,Up,btc-updown-15m-1765389600,0.35,18.0,6.3,0
1765389684,2025-12-11 02:01:24,BUY,Down,btc-updown-15m-1765389600,0.64,18.0,11.52,1
1765389684,2025-12-11 02:01:24,BUY,Down,btc-updown-15m-1765389600,0.6400000691200144,6.944443,4.444444,1
1765389684,2025-12-11 02:01:24,BUY,Down,btc-updown-15m-1765389600,0.64,2.28,1.4592,1
1765389684,2025-12-11 02:01:24,BUY,Down,btc-updown-15m-1765389600,0.630000547184216,0.767566,0.483567,1
